id_projeto,nome,descricao,tipo_projeto,uf,situacao,data_de_inicio_prevista,data_de_fim_prevista,fontes_de_recurso,objetivo_do_projeto,funcao_social
50379.53-54,DL - 304/2024 - Contratação de instituição para execução de serviços técnico-especializados para realização de atualizações no Método de Dimensionamento de Pavimentos Rígidos do DNI,Contratação de instituição para execução de serviços técnico-especializados para realização de atualizações no Método de Dimensionamento de Pavimentos Rígidos do DNI,Rodovia,DF,Cadastrada,2024-12-20,2027-12-05,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 44463443.0}",Projetos Básicos e Executivos de Engenharia,Ampliação da capacidade de trafego visando a melhoria da segurança do usuário
42724.53-27,Escola Classe Crixá São Sebastião,"Construção de Escola em Tempo Integral, Escola Classe Crixá Bairro: São Sebastião/Brasília -DF – Projeto Próprio.",Educação,DF,Cancelada,2024-09-02,2028-09-02,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 12319519.51}","Construção de Escola em Tempo Integral, Escola Classe Crixá Bairro: São Sebastião/Brasília -DF – Projeto Próprio.","A construção da nova escola beneficiará 977 estudantes, do 1º ao 5º ano do Ensino Fundamental, em turno integral, na região administrativa de São Sebastião, Brasília-DF.. Atualmente, não há unidades de ensino suficientes para atender, novo bairro criado em São Sebastião pelos programas habitacionais do governo, como o Morar Bem e o Minha Casa, Minha Vida. Crianças em idade escolar que precisam ser transportadas para outras regiões para estudar. A expansão da rede é essencial para garantir o acesso e a permanência dos estudantes na Rede Pública, reiterando o compromisso do DF com uma educação de qualidade. Fonte de dado: Sistema Interno da SEEDF (Argis).. Espera-se atender aos programas Escola em Tempo Integral - Lei nº 14.640/2023 e Compromisso Nacional Criança Alfabetizada – Decreto nº 11.556/2023, reduzindo a vulnerabilidade social e alcançando as metas estabelecidas no Plano Nacional de Educação (PNE) e no Plano Distrital de Educação (PDE) pelo Distrito Federal."
19970.53-78,Reajuste do Contrato 45/2021 - Contrução do Centro de Formação e Aperfeiçoamento de Praças - CEFAP do CBMDF,"Reajuste do Contrato 45/2021 - Construção do Centro de Formação e Aperfeiçoamento de Praças - CEFAP, situado no Setor Policial Sul lote 03, Asa Sul, Brasília-DF.",Segurança Pública,DF,Cadastrada,2021-09-14,2024-08-28,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 1177429.91}",Construção de um novo centro de formação e de aperfeiçoamento de praças.,Contribuir para a melhor formação dos bombeiros militares que prestarão serviços à sociedade do DF.
24797.53-15,Implantação de Passarelas nas Estradas Parque do DF,Implantação de passarelas de estrutura mista nas rodovias Estradas Parques no DF.,Infraestrutura Urbana e Mobilidade,DF,Cadastrada,2023-08-30,2028-08-30,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 10800000.0}",Implantação de passarelas de estrutura mista nas rodovias Estradas Parques no DF.,"Pedestres, no geral, demanda das ocupações lindeiras à faixa de domínio das rodovia, formando um grupo heterogêneo no sistema viário, dos quais, possuem idade e sexo distintos, além de englobarem pessoas com deficiência física e, em alguns casos, ciclistas... Os acidentes de trânsito são uma das principais causas de mortes no Brasil, sendo que o atropelamento é considerado o mais grave. Porém estes acidentes em rodovias localizadas em trechos urbanos têm aumentado. A implantação das passarelas possibilitará travessia segura, sobre as rodovias, em regiões de acentuado adensamento urbano.. Redução de acidentes por atropelamento, assim como promoção de local adequado para os usuários do sistema viário."
24822.53-70,"obra de construção da  Cabine de Medição, localizado no Setor Central do Campus Universitário Darcy Ribeiro, da Universidade de Brasília, em Brasília/DF","obra de construção da  Cabine de Medição, localizado no Setor Central do Campus Universitário Darcy Ribeiro, da Universidade de Brasília, em Brasília/DF",Energia,DF,Cadastrada,2023-09-14,2024-03-14,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 928139.7}","A demanda de carga elétrica do Campus Darcy Ribeiro aumenta progressivamente, em razão da instalação de novos
equipamentos de ar-condicionado, equipamentos para laboratórios, entre outros inerentes ao crescimento da Universidade. A
principal consequência disso é a sobrecarga nos cabeamentos do fornecimento de energia, que comprometem a qualidade da
infraestrutura elétrica. Nos meses de novembro e dezembro de 2019 atingiram valores de demanda de energia próximos ao pico
máximo já registrado, conforme relatado no documento SEI N. 5187620.
A Norma Técnica de Distribuição - NTD Nº 6.05, publicada pela CEB-D, trata do fornecimento de energia elétrica em tensão
primária de distribuição. Essa normativa define, entre outros aspectos, as características técnicas necessárias para o correto
funcionamento de subestações de entrada de energia, segundo os padrões técnicos da concessionária.
As subestações devem ter características de construção definitiva, ser de materiais incombustíveis e de estabilidade adequada,
oferecendo condições de bem-estar e segurança aos operadores, devem atender a requisitos de segurança e serem devidamente
protegidas contra danos acidentais decorrentes do meio ambiente.
Além disso, a disposição dos equipamentos deve oferecer condições adequadas de operação, segurança e facilidade de
substituição do todo ou parte, facilitados por corredores que obedeçam às dimensões recomendadas para viabilizar a correta
operação e manutenção dos sistemas, garantindo que o afastamento entre partes vivas também obedeça aos critérios técnicos
estabelecidos na NTD.
Atualmente, a cabine de medição do Campus Universitário Darcy Ribeiro está situada no subsolo do SG-12. Esta edificação é
ocupada pelo Departamento de Engenharia Civil para abrigar salas de aulas e laboratórios, cujo espaço físico não oferece as
condições técnicas necessárias para viabilizar a expansão de carga do campus.","A demanda de carga elétrica do Campus Darcy Ribeiro aumenta progressivamente, em razão da instalação de novos
equipamentos de ar-condicionado, equipamentos para laboratórios, entre outros inerentes ao crescimento da Universidade. A
principal consequência disso é a sobrecarga nos cabeamentos do fornecimento de energia, que comprometem a qualidade da
infraestrutura elétrica. Nos meses de novembro e dezembro de 2019 atingiram valores de demanda de energia próximos ao pico
máximo já registrado, conforme relatado no documento SEI N. 5187620.
A Norma Técnica de Distribuição - NTD Nº 6.05, publicada pela CEB-D, trata do fornecimento de energia elétrica em tensão
primária de distribuição. Essa normativa define, entre outros aspectos, as características técnicas necessárias para o correto
funcionamento de subestações de entrada de energia, segundo os padrões técnicos da concessionária.
As subestações devem ter características de construção definitiva, ser de materiais incombustíveis e de estabilidade adequada,
oferecendo condições de bem-estar e segurança aos operadores, devem atender a requisitos de segurança e serem devidamente
protegidas contra danos acidentais decorrentes do meio ambiente.
Além disso, a disposição dos equipamentos deve oferecer condições adequadas de operação, segurança e facilidade de
substituição do todo ou parte, facilitados por corredores que obedeçam às dimensões recomendadas para viabilizar a correta
operação e manutenção dos sistemas, garantindo que o afastamento entre partes vivas também obedeça aos critérios técnicos
estabelecidos na NTD.
"
4541.53-44,202111-22-Ronald 1,2021122-Ronald - Descrição do Projeto,Desenvolvimento,DF,Cadastrada,2021-12-10,2021-12-10,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 300000002.0}",20211122-Ronald - Descrição Meta Global,2021122-Ronald - Descrição Funç]ap Social
4545.53-03,202111-22-Ronald 1,2021122-Ronald - Descrição do Projeto,Desenvolvimento,DF,Cadastrada,2021-12-10,2021-12-10,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 30000006.0}",20211122-Ronald - Descrição Meta Global,2021122-Ronald - Descrição Funç]ap Social
4546.53-60,202111-22-Ronald 1,2021122-Ronald - Descrição do Projeto,Desenvolvimento,DF,Cadastrada,2021-12-10,2021-12-10,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 30000007.0}",20211122-Ronald - Descrição Meta Global,2021122-Ronald - Descrição Funç]ap Social
21324.53-75,Reforma Viveiro Agroecologia,"Reforma/reestruturação do prédio de aulas práticas do curso de agroecologia, onde funciona um viveiro de plantas e incubatório de sementes. A edificação está com telhado danificado e estruturas de madeira danificados",Educação,DF,Cadastrada,2023-08-01,2023-12-31,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 700000.0}",aumentar o alcance do conhecimento e aulas práticas nas instituições de ensino,Escolar
21327.53-34,Reforma Agroecologia,"Reforma do prédio de salas de aulas e laboratórios do curso de agroecologia do Campus Planaltina, incluindo um reforço na fundação, reforma do telhado, reforma e adequação dos banheiros, adequação dos acessos a edificação, entre outros.",Educação,DF,Cadastrada,2023-09-01,2024-03-31,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 3300000.0}",aumentar o alcance do conhecimento com  aulas teóricas  e práticas nas instituições de ensino,atender a comunidade acadêmica do Campus Planaltina principalmente no curso de agroecologia
